Date,Adj Close
17.06.2016,67.50
20.06.2016,69.50
21.06.2016,69.89
22.06.2016,70.35
23.06.2016,71.80
24.06.2016,66.70
27.06.2016,65.15
28.06.2016,66.07
29.06.2016,67.63
30.06.2016,69.25
01.07.2016,69.30
04.07.2016,69.00
05.07.2016,67.30
06.07.2016,66.30
07.07.2016,65.94
08.07.2016,67.20
11.07.2016,68.68
12.07.2016,69.10
13.07.2016,69.09
14.07.2016,71.22
15.07.2016,71.70
18.07.2016,71.59
19.07.2016,71.10
20.07.2016,71.75
21.07.2016,71.79
22.07.2016,71.51
25.07.2016,71.67
26.07.2016,71.60
27.07.2016,70.11
28.07.2016,70.75
29.07.2016,69.83
01.08.2016,70.31
02.08.2016,68.89
03.08.2016,69.04
04.08.2016,69.18
05.08.2016,69.40
08.08.2016,70.13
09.08.2016,71.70
10.08.2016,72.30
11.08.2016,72.61
12.08.2016,72.68
15.08.2016,73.11
16.08.2016,72.50
17.08.2016,72.61
18.08.2016,72.70
19.08.2016,71.96
22.08.2016,71.76
23.08.2016,72.50
24.08.2016,72.79
25.08.2016,72.28
26.08.2016,71.98
29.08.2016,72.20
30.08.2016,73.26
31.08.2016,72.70
01.09.2016,72.70
02.09.2016,72.98
05.09.2016,73.50
06.09.2016,73.39
07.09.2016,74.36
08.09.2016,73.90
09.09.2016,72.27
12.09.2016,71.60
13.09.2016,71.30
14.09.2016,71.20
15.09.2016,71.64
16.09.2016,70.62
19.09.2016,70.65
20.09.2016,71.02
21.09.2016,71.69
22.09.2016,73.88
23.09.2016,73.47
26.09.2016,72.64
27.09.2016,72.54
28.09.2016,73.24
29.09.2016,73.60
30.09.2016,75.80
04.10.2016,76.75
05.10.2016,78.25
06.10.2016,78.43
07.10.2016,78.05
10.10.2016,78.31
11.10.2016,78.25
12.10.2016,78.20
13.10.2016,77.76
14.10.2016,78.85
17.10.2016,78.00
18.10.2016,78.98
19.10.2016,78.80
20.10.2016,79.35
21.10.2016,79.52
24.10.2016,79.99
25.10.2016,80.45
26.10.2016,79.75
27.10.2016,80.00
28.10.2016,80.20
31.10.2016,80.28
01.11.2016,78.75
02.11.2016,77.92
03.11.2016,76.62
04.11.2016,77.35
07.11.2016,78.40
08.11.2016,79.35
09.11.2016,79.85
10.11.2016,81.50
11.11.2016,80.93
14.11.2016,81.60
15.11.2016,81.35
16.11.2016,80.93
17.11.2016,81.11
18.11.2016,80.15
21.11.2016,80.14
22.11.2016,80.50
23.11.2016,80.16
24.11.2016,80.43
25.11.2016,80.40
28.11.2016,78.78
29.11.2016,78.60
